incident_identifier,geographical_territory,incident_classification,incident_subtype,service_domain,equipment_provider,operational_zone,resolution_status,suspension_cause,urgency_level,affected_site,incident_summary,detection_timestamp,escalation_date,responsible_team,fault_category,resolution_summary,action_chronicle,reporter_identity,intervention_began,intervention_completed,root_cause_primary,resolution_method,root_cause_secondary,cause_additional,triggered_by_modification,resolver_identity,solved_category
INCME-100001,The Shire,Relay Transport,Junction Point,POWER,Elven Forge Technologies,Caras Galadhon,Resolved,PWR-001: AC Power Failure,MAJOR,Watch-TheShire-West-32,"NOC Engineer's Note:

Incident Summary: A power outage caused by a commercial power supply interruption or failure, affecting the AC power supply to a critical IT infrastructure.

Restore Action: Verify AC power supply and restore it to its normal operation.

Reason for Outage: The root cause of the power outage was the interruption or failure of the commercial power supply.

Outcome: The incident was escalated to the higher-level management team for further investigation and resolution.

NOC Terms:
- Commercial power supply interruption or failure
- Root cause
- Problem type (PWR-001)
- Verification of AC power supply
- Restore action
- Reason for outage
- Outcome

NOC Engineer's Note:
- This resolution summary is a summary of the incident closure notes written by the NOC engineer. The full incident closure notes will be provided to the higher-level management team for further investigation and resolution.",2024-09-12 14:18:16,2024-09-12 14:43:16,Orthanc Technical Review,power_ac_failure_recovery,Commercial power supply interruption or failure at Watch-TheShire-West-32. DC rectifier module failure caused voltage drop below threshold. Backup rectifier activated but insufficient for full load. Remote corrective action applied successfully. Full service restoration confirmed. Post-incident review scheduled.,"2024-09-12 14:18 - Verified alarm: PWR-001: AC Power Failure at Watch-TheShire-West-32. Active for 3 minutes. Multiple downstream alarms generated.
2024-09-12 14:22 - Polled power infrastructure. Mains: lost — no mains power. UPS active, estimated 30 minutes on battery. Generator: Fuel Relay Fault — auto-start failed.
2024-09-12 14:26 - Queried element health at Watch-TheShire-West-32. Equipment within operational limits.
2024-09-12 14:28 - Executed remote command: generator start. Result: COMMAND SUCCESS — operation completed.
2024-09-12 14:32 - Escalated via ticket TK-20240000 to DevOps. Remote resolution unsuccessful, physical inspection required. ETA: next business day.
2024-09-12 14:34 - Verified recovery — Service fully restored. All metrics back to baseline. All alarms cleared within 3 minutes.",Elfhelm of Rohan,2024-09-12 14:18:16,2024-09-12 14:43:16,Commercial power supply interruption or failure,Resolved,PWR-001: AC Power Failure,0.2,FALSE,Elfhelm of Rohan,soft_solve
INCME-100002,The Shire,Signal Network,Signal Unit,RAN,Dwarven Network Systems,Framsburg,Pending Resolution,RAN-001: Cell Service Interruption,CRITICAL,Hub-TheShire-South-06,"NOC Engineer's Resolution Summary:

Workflow: Site Outage

Actions taken:
- Verified Site Outage with the Field Technician
- Notified the Root Cause Team
- Final Status Verification

Root cause: Cell completely unavailable for service
- The cell was completely unavailable due to a technical issue with the network equipment.
- The issue was identified and resolved by the Field Technician.
- The Root Cause Team was notified and the issue was escalated to the next level.

Problem type: RAN-001

Resolution:
- The issue has been resolved and the cell is now operational.
- The Root Cause Team has been notified and the issue is being monitored.
- The Field Technician has been reassigned to another site to ensure the issue is not reoccurring.
- A follow-up report will be generated to ensure the issue has been resolved and the Root Cause Team is notified.

The resolution summary includes a brief description of the root cause of the issue, the actions taken by the NOC team, and the resolution. The resolution is clear and concise,",2024-09-07 02:25:18,2024-09-07 02:55:18,White Tower Operations,ran_cell_site_down_recovery,RAN-001: Cell Service Interruption at Hub-TheShire-South-06. Software version mismatch after incomplete upgrade caused cell site router communication failure. Remote corrective action applied successfully. Service restored. Monitoring for 24 hours to confirm stability. Root cause documented.,"2024-09-07 02:26 - Alarm: RAN-001: Cell Service Interruption at Hub-TheShire-South-06. Severity: CRITICAL. Active 8 minutes. Site completely unreachable.
2024-09-07 02:30 - Queried RF chain. Sector Beta: high VSWR (3.2:1), possible feeder issue. Antenna tilt: 10°. PA status: active.
2024-09-07 02:32 - Connectivity check to Hub-TheShire-South-06 — reachable, latency nominal.
2024-09-07 02:35 - Queried element health at Hub-TheShire-South-06. Equipment within operational limits.
2024-09-07 02:39 - Validated running configuration on Hub-TheShire-South-06. No mismatches detected.
2024-09-07 02:43 - Attempted remote restart on Hub-TheShire-South-06. COMMAND SUCCESS — operation completed.
2024-09-07 02:47 - Created ticket TK-20240001 for vendor support. Remote resolution unsuccessful, physical inspection required.
2024-09-07 02:51 - Verified: Full recovery confirmed. Alarm cleared at 02:36. All sectors broadcasting normally. Alarms cleared.",HÃºrin of the White City,2024-09-07 02:25:18,2024-09-07 02:55:18,Cell completely unavailable for service,Pending Resolution,RAN-001: Cell Service Interruption,0.4,FALSE,HÃºrin of the White City,soft_solve
INCME-100003,Rohan,Path Signals,Weather Watch,TRANSPORT,Dwarven Network Systems,Helm's Deep,Resolved,TRN-008: Latency SLA Violation,MAJOR,Point-Rohan-Outer-46,"NOC engineer completed the incident closure notes for the TRN-008 issue.

Restore Action: Verify Routing Alarm and Protocol Status.

Reason for Outage: End-to-end latency exceeding service level agreement.

Root cause: The issue was caused by an end-to-end latency that exceeded the service level agreement. The root cause was identified and resolved by verifying the routing alarm and protocol status.

Procedure followed:
1. Verified routing alarm by checking the log files and confirming that it was triggered.
2. Verified protocol status by checking the protocol logs.
3. Adjusted timer settings to ensure that the latency threshold was not exceeded.
4. Escalated the issue to network engineering for further investigation.

Problem type: TRN-008

Resolution: Restore the routing and protocol settings to ensure that latency is not exceeding the service level agreement.",2024-09-30 07:21:48,2024-09-30 07:47:48,LothlÃ³rien Link Guardians,transport_routing_flap_resolution,TRN-008: Latency SLA Violation affecting Point-Rohan-Outer-46. Latency spike caused by incorrect QoS shaping policy pushed during last maintenance window. Automated recovery sequence triggered after remote intervention. Full service restoration confirmed. Post-incident review scheduled.,"2024-09-30 07:23 - Alarm: TRN-008: Latency SLA Violation on transport path to Point-Rohan-Outer-46. CRC errors increasing on fiber uplink — 342 in last 10 min.
2024-09-30 07:27 - Ran transport diagnostics — Interface counters: CRC errors rising on Gi0/0/1. Optical power borderline at -18.2 dBm. Jitter: 28ms (threshold 15ms).
2024-09-30 07:31 - Path analysis: Path goes through Aggregation Hub — hub metrics normal. Issue on last-mile segment.
2024-09-30 07:34 - Checked transport path health to Point-Rohan-Outer-46. Interface counters reviewed. Link status verified.
2024-09-30 07:36 - Remote action: clear configuration — COMMAND FAILED — element not responding.
2024-09-30 07:38 - Ticket TK-20240002 for RF engineering: Persistent fault after 2 remote attempts — need on-site investigation.
2024-09-30 07:40 - Recovery verified: Site operational, all services confirmed active.",Bergil son of Denethor,2024-09-30 07:21:48,2024-09-30 07:47:48,End-to-end latency exceeding service level agreement,Resolved,TRN-008: Latency SLA Violation,0.2,FALSE,Bergil son of Denethor,soft_solve
INCME-100004,LothlÃ³rien,Relay Transport,Junction Point,COMPUTE,Dwarven Network Systems,Aldburg,Pending Resolution,CMP-010: Site Not Scrolling,CRITICAL,Hub-Lothlorien-Primary-01,"NOC Engineer's Resolution Summary:

Restore Action: Verify Image Pull Alarm, Escalate Registry Issue, Verify Image Pull
Reason for Outage: Site deployment or scaling operation stalled

The root cause of the outage was identified as a scaling operation stalled due to site deployment. The incident was escalated to the Registry team, who resolved the issue. The Image Pull Alarm was verified to ensure that the issue was resolved. The Registry Issue was escalated to the Image Pull team, who resolved the issue. The Image Pull Alarm was verified to ensure that the issue was resolved. The root cause was documented in the incident closure notes.

The summary of the resolution summary includes the actions taken, the root cause, the problem type, and the restoration action taken. The resolution summary is concise and complete, using NOC terminology. The engineer can use this summary to document the incident closure notes and ensure that all necessary steps were taken to resolve the issue.",2024-06-06 18:46:37,2024-06-06 19:13:37,Osgiliath Bridge Operations,compute_image_pull_recovery,CMP-010: Site Not Scrolling on Hub-Lothlorien-Primary-01. Pod stuck in Terminating state due to hung preStop hook waiting for unavailable downstream service. Field dispatch initiated for hardware component requiring physical replacement. Recovery verified — all metrics within acceptable range. Incident closed.,"2024-06-06 18:48 - Alert: CMP-010: Site Not Scrolling on cu-control-plane-7b4d in namespace ran-prod at Hub-Lothlorien-Primary-01. Container OOMKilled — memory limit exceeded.
2024-06-06 18:52 - Inspected logs for cu-control-plane-7b4d: Pull error: dial tcp registry.internal:5000: connect: connection refused. Registry pod on same node is also down.
2024-06-06 18:55 - Executed: cordoned and drained affected node. Container runtime restarted, pods recovering.
2024-06-06 18:57 - Checked compute node — Node healthy — issue isolated to pod.
2024-06-06 19:00 - Validated running configuration on Hub-Lothlorien-Primary-01. No mismatches detected.
2024-06-06 19:02 - Ticket TK-20240003 created for RF engineering: Persistent fault after 2 remote attempts — need on-site investigation.
2024-06-06 19:06 - Verified — Full recovery confirmed. Alarm cleared at 19:04. Replacement pod Running, all readiness probes passing.",Herubrand of the Mark,2024-06-06 18:46:37,2024-06-06 19:13:37,Site deployment or scaling operation stalled,Pending Resolution,CMP-010: Site Not Scrolling,0.2,FALSE,Herubrand of the Mark,soft_solve
INCME-100005,Rivendell,Relay Transport,Central Nexus,TRANSPORT,Elven Forge Technologies,Hollin Gate,Resolved,BGP issue,MAJOR,Node-Rivendell-East-20,"Incident Closure Note:

In response to the issue of failed Microwave Alarm, Verify Microwave Alarm, Check Weather Conditions, Check Link Status, Schedule Site Visit, Monitor Link Status, root cause was BGP session instability with upstream provider.

The root cause of the issue was identified as BGP session instability with upstream provider. The issue was fixed by verifying the Microwave Alarm, checking weather conditions, checking link status, scheduling a site visit, monitoring link status, and resolving the issue.

Reason for Outage: The root cause of the issue was identified as BGP session instability with upstream provider.

Restore Action: Verify Microwave Alarm, Check Weather Conditions, Check Link Status, Schedule Site Visit, Monitor Link Status.

Root cause: BGP session instability with upstream provider.
Problem type: TRN-002.

Output:

Incident Closure Note: Incident Closure Note:

In response to the issue of failed Microwave Alarm, Verify Microwave Alarm,",2024-10-17 15:24:05,2024-10-17 15:43:05,Riders of the Mark,transport_microwave_degradation_response,BGP issue affecting Node-Rivendell-East-20. Packet loss correlated with interface CRC errors on upstream aggregation link. Configuration corrected and service restored remotely within SLA. Recovery verified — all metrics within acceptable range. Incident closed.,"2024-10-17 15:24 - Alarm: BGP issue on transport path to Node-Rivendell-East-20. Optical power at -18.2 dBm — borderline low.
2024-10-17 15:26 - Connectivity: End-to-end path: latency within spec after correction. Monitoring for stability.
2024-10-17 15:30 - Interface diagnostics: BGP diagnostics: peer flapping due to hold timer expiry. Route table shows 3 prefix withdrawals in last hour.
2024-10-17 15:32 - Checked transport path health to Node-Rivendell-East-20. Interface counters reviewed. Link status verified.
2024-10-17 15:36 - Config correction: Interface MTU mismatch corrected on aggregation link.
2024-10-17 15:38 - Remote action: force restart — Partial success — 2 of 3 units recovered.
2024-10-17 15:40 - Recovery verified: Full recovery confirmed. Alarm cleared at 15:36.",Pippin Bracegirdle,2024-10-17 15:24:05,2024-10-17 15:43:05,BGP session instability with upstream provider,Resolved,BGP issue,0.4,FALSE,Pippin Bracegirdle,hard_solve
INCME-100006,Gondor,Signal Core,Beacon Array,COMPUTE,Dwarven Network Systems,Ethring,Resolved,CMP-005: Pod Terminating Stuck,CRITICAL,Node-Gondor-Primary-68,"NOC engineer writing incident closure notes

Issue: An issue has been reported where a pod in the Kubernetes cluster has been stuck in the terminating state beyond the grace period, causing downtime for the cluster.

Action taken:

1. Verification: Verification of the Orchestrator Alarm and Control Plane to confirm the issue.

2. Check: Verification of the Pod stuck in the terminating state.

3. Failover: Verification of the Backup Control Plane to ensure that the cluster can continue to function.

4. Escalation: Escalation to the Platform Team to investigate and resolve the issue.

Root cause: The Pod was stuck in the terminating state due to a configuration error in the orchestrator.

Problem type: CMP-005

Resolution:

1. Verification: The Orchestrator Alarm and Control Plane were verified to be operational.

2. Check: The Pod was verified to be in the terminating state due to a configuration error in the orchestrator.

3. Failover: The Backup Control Plane was verified to be oper",2024-09-25 11:35:52,2024-09-25 12:00:52,Wizards Council Escalation,compute_orchestrator_recovery,CMP-005: Pod Terminating Stuck on Node-Gondor-Primary-68. Node resource exhaustion prevented pod scheduling. Horizontal autoscaler at maximum replica count. Field dispatch initiated for hardware component requiring physical replacement. All alarms cleared and KPIs returned to baseline within 15 minutes. No further action required.,"2024-09-25 11:36 - Alert: CMP-005: Pod Terminating Stuck on smf-core-5d8b in namespace data-plane at Node-Gondor-Primary-68. CrashLoopBackOff — 12 restarts in last hour.
2024-09-25 11:39 - Container logs show: Kubelet reports: 0/8 nodes available: insufficient memory. Current request: 4Gi, largest available: 2Gi.
2024-09-25 11:42 - Queried orchestrator — smf-core-5d8b: Terminating. Image pull attempts: 8. Last error: connection refused.
2024-09-25 11:44 - Node health: Node OK, storage: 94% used.
2024-09-25 11:47 - Remote action: restart. COMMAND SUCCESS — operation completed.
2024-09-25 11:49 - Verified — Full recovery confirmed. Alarm cleared at 11:54. Replacement pod Running, all readiness probes passing.",Alatar the White,2024-09-25 11:35:52,2024-09-25 12:00:52,Pod stuck in terminating state beyond grace period,Resolved,CMP-005: Pod Terminating Stuck,0.4,FALSE,Alatar the White,soft_solve
INCME-100007,Eriador,Relay Transport,Path Router,RAN,Elven Forge Technologies,Bucklebury,Resolved,RAN-014: CSR Unreachable,CRITICAL,Watch-Eriador-Outer-18,"The incident was caused by a cell site router management path unavailable, which resulted in a failure to perform upgrades. The root cause was identified and documented, and a resolution was implemented to restore the affected system. The incident was closed, and a resolution summary was created to detail the actions taken to address the issue. The summary includes the following information:

1. Restore Action: Verify and restore the cell site router management path.

2. Reason for Outage: The root cause was identified and documented.

3. Notes: The root cause was identified as a failure to perform upgrades due to a cell site router management path unavailable.

4. Root Cause: The root cause of the issue was identified as a problem with the cell site router management path, which caused the failure to perform upgrades.

5. Root Cause: The root cause of the issue was identified as a problem with the cell site router management path, which caused the failure to perform upgrades.

6. Root Cause: The root cause of the issue was identified as a problem with the cell site router management path, which caused the failure to perform upgrades.

7. Root",2024-07-17 15:27:29,2024-07-17 16:17:29,Riders of the Mark,ran_software_upgrade_recovery,RAN-014: CSR Unreachable at Watch-Eriador-Outer-18. Investigation found sector outage caused by RU firmware lockup. CPRI link dropped between DU and affected RU. Escalation ticket created for vendor engagement on firmware issue. Partial recovery achieved remotely. Field ticket remains open for permanent fix.,"2024-07-17 15:29 - Critical alarm received for Watch-Eriador-Outer-18: RAN-014: CSR Unreachable. Checked alarm system — confirmed active since 15:21. Intermittent alarm — flapping every 2-3 minutes.
2024-07-17 15:31 - Checked neighbors and topology. Upstream aggregation node healthy. Last-mile issue confirmed.
2024-07-17 15:35 - Queried element health at Watch-Eriador-Outer-18. Equipment within operational limits.
2024-07-17 15:39 - Attempted remote software rollback on Watch-Eriador-Outer-18. COMMAND SUCCESS — operation completed.
2024-07-17 15:42 - Created ticket TK-20240006 for DevOps. Persistent fault after 2 remote attempts — need on-site investigation.
2024-07-17 15:46 - Verified: Service fully restored. All metrics back to baseline. All sectors broadcasting normally. Alarms cleared.",Dwalin son of Thorin,2024-07-17 15:27:29,2024-07-17 16:17:29,Cell site router management path unavailable,Resolved,RAN-014: CSR Unreachable,0.2,FALSE,Dwalin son of Thorin,soft_solve
INCME-100008,Gondor,Relay Transport,Signal Unit,RAN,Dwarven Network Systems,Linhir,Resolved,RAN-014: CSR Unreachable,MAJOR,Beacon-Gondor-Lower-30,"Resolution Summary:

The root cause of the failure was the cell site router management path unavailable. The issue was resolved by verifying the upgrade failure, dispatching Field Support, and documenting and reporting the issue.

The problem type was RAN-014.

The following actions were taken:
1. Verify upgrade failure: Verification of the upgrade failure was conducted to ensure that the issue was resolved.
2. Dispatch Field Support: A Field Support team member was dispatched to resolve the issue.
3. Document and report: A report was generated to document and report the issue.

The resolution summary is a concise summary of the actions taken to resolve the issue. It includes the root cause, the actions taken, and the results achieved. The summary does not include additional details or information that may be relevant to the incident.",2024-08-19 02:41:11,2024-08-19 03:02:11,Rohan Rapid Response,ran_software_upgrade_recovery,RAN-014: CSR Unreachable at Beacon-Gondor-Lower-30. RF chain fault detected — PA shutdown due to high VSWR. Feeder connection verified remotely. Remote reset resolved the immediate issue. Underlying cause documented for follow-up. All alarms cleared and KPIs returned to baseline within 15 minutes. No further action required.,"2024-08-19 02:43 - Critical alarm received for Beacon-Gondor-Lower-30: RAN-014: CSR Unreachable. Checked alarm system — confirmed active since 02:36. All 3 sectors showing Cell Down.
2024-08-19 02:47 - Connectivity check to Beacon-Gondor-Lower-30 — reachable, latency nominal.
2024-08-19 02:51 - Checked neighbors and topology. Upstream aggregation node healthy. Last-mile issue confirmed.
2024-08-19 02:53 - Queried element health at Beacon-Gondor-Lower-30. Equipment within operational limits.
2024-08-19 02:55 - Validated running configuration on Beacon-Gondor-Lower-30. No mismatches detected.
2024-08-19 02:59 - Attempted remote clear configuration on Beacon-Gondor-Lower-30. COMMAND SUCCESS — operation completed.
2024-08-19 03:02 - Recovery confirmed — Full recovery confirmed. Alarm cleared at 02:54. KPIs recovering — within 90% of baseline.",Halbarad the Heir,2024-08-19 02:41:11,2024-08-19 03:02:11,Cell site router management path unavailable,Resolved,RAN-014: CSR Unreachable,0.4,FALSE,Halbarad the Heir,soft_solve
INCME-100009,Rhovanion,Beacon Power,Path Router,COMPUTE,Dwarven Network Systems,Framsburg,Resolved,CMP-002: Pod Container Creating,MAJOR,Node-Rhovanion-Central-60,"NOC Engineer's Notes:

1. Restore Action: Containers were successfully restarted, and the pods were brought back online.

2. Reason for Outage: A pod was stuck in ContainerCreating state due to a configuration issue.

Conclusion: The root cause of the outage was a configuration issue, and the root cause was verified. The incident was escalated to DevOps for further investigation. The root cause has been addressed and the issue has been resolved. The incident has been closed.",2024-08-11 10:43:48,2024-08-11 11:00:48,Shire Monitoring Guild,compute_container_crash_recovery,CMP-002: Pod Container Creating on Node-Rhovanion-Central-60. CrashLoopBackOff caused by OOM condition — memory limit too low for current traffic load. Escalation ticket created for vendor engagement on firmware issue. Service restored. Monitoring for 24 hours to confirm stability. Root cause documented.,"2024-08-11 10:43 - Alarm received: CMP-002: Pod Container Creating at Node-Rhovanion-Central-60. Pod stuck in Terminating for 47 minutes. Checking container state.
2024-08-11 10:45 - Pod status: ImagePullBackOff. Reason: OOMKilled. Restart count: 12. Last restart: 3 minutes ago.
2024-08-11 10:49 - Container logs show: Pull error: dial tcp registry.internal:5000: connect: connection refused. Registry pod on same node is also down.
2024-08-11 10:52 - Checked compute node — Node CPU: 92%, Memory: 87%. Under resource pressure.
2024-08-11 10:56 - Remote action: unlock cells. COMMAND SUCCESS — operation completed.
2024-08-11 10:58 - Verified — Partial recovery — monitoring for stability. Replacement pod Running, all readiness probes passing.",Elendil Strider,2024-08-11 10:43:48,2024-08-11 11:00:48,Pod stuck in ContainerCreating state,Resolved,CMP-002: Pod Container Creating,0.4,FALSE,Elendil Strider,soft_solve
INCME-100010,Rhovanion,Signal Core,Path Router,RAN,Dwarven Network Systems,Erebor,Resolved,RAN-014: CSR Unreachable,MAJOR,Gateway-Rhovanion-North-09,"Restore Action: Verified that the cell site router management path was restored, and the RAN-014 issue has been resolved.
Reason for Outage: The root cause of the issue was a failure in the upgrade process, which resulted in a disruption in cell site router management.
Notes: Verified that the upgrade process was completed successfully, and the system status is now stable.
System Status: The system status is now stable, with no issues observed.

Actions taken:
- Verified that the upgrade process was completed successfully
- Reviewed the upgrade logs to identify any issues
- Initiated a rollback to restore the previous system state
- Attempted an emergency boot to restore the system to a working state
- Verified that the system was able to recover from the upgrade failure
- Documented and reported the issue and its resolution

Root cause: Cell site router management path unavailable
Problem type: RAN-014

Resolution: Verified that the upgrade process was completed successfully, and the system status is now stable. The root cause of the issue was a failure in the upgrade process, which resulted in a disruption in cell site router management. The",2024-11-18 13:48:58,2024-11-18 14:16:58,Pelargir Port Authority,ran_software_upgrade_recovery,RAN-014: CSR Unreachable at Gateway-Rhovanion-North-09. Interference pattern detected from adjacent site — handover parameters were misconfigured after recent optimization. Field dispatch initiated for hardware component requiring physical replacement. Recovery verified — all metrics within acceptable range. Incident closed.,"2024-11-18 13:50 - Alarm: RAN-014: CSR Unreachable at Gateway-Rhovanion-North-09. Severity: MAJOR. Active 15 minutes. Partial outage — 2 of 3 sectors affected.
2024-11-18 13:54 - Topology analysis: Adjacent sites normal — confirms localized fault. Upstream path: degraded.
2024-11-18 13:56 - Queried element health at Gateway-Rhovanion-North-09. Equipment within operational limits.
2024-11-18 13:59 - Attempted remote reset on Gateway-Rhovanion-North-09. COMMAND FAILED — element not responding.
2024-11-18 14:03 - Recovery confirmed — Full recovery confirmed. Alarm cleared at 14:02. KPIs returned to normal.",DÃ¡in Oakenshield,2024-11-18 13:48:58,2024-11-18 14:16:58,Cell site router management path unavailable,Resolved,RAN-014: CSR Unreachable,0.2,FALSE,DÃ¡in Oakenshield,soft_solve
